File name	Tissue type	Subtype	Is a cancer	Cancer ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
BI_Adipose_Nuclei	Adipose			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
UCSD_Adrenal_Gland	Adrenal gland			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
UCSD_Aorta	Aorta			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
Astrocytes	Astrocyte			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
UCSD_Bladder	Bladder			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
CD14	Blood	Monocyte		                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
CD20	Blood	B cell		                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
BI_CD4p_CD25-_Il17-_PMAstim_Th	Blood	T cell		                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
BI_CD34_Primary_RO01536	Blood	HSC		                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
Osteoblasts	Bone	Osteoblast		                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
BI_Brain_Hippocampus_Middle	Brain			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
UCSD_Sigmoid_Colon	Colon			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
H1	ES			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
UCSD_Esophagus	Esophagus			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
UCSD_Left_Ventricle	Heart			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
UCSD_Lung	Lung			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
HMEC	Mammary epithelial			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
UCSD_Ovary	Ovary			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
UCSD_Pancreas	Pancreas			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
UCSD_Psoas	Skeletal muscle			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
NHDF_Ad	Skin	Fibroblast		                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
UCSD_Small_Intestine	Small intestine			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
UCSD_Spleen	Spleen			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
UCSD_Gastric	Stomach			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
UCSD_Thymus	Thymus			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
HUVEC	Umbilical vein	Endothelial		                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
BI_Brain_Mid_Frontal_Lobe	Brain			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
UCSD_Adipose_Tissue	Adipose			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
BI_CD4_Naive_Primary_8pool	Blood	T cell		                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
BI_CD4_Memory_Primary_7pool	Blood			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
BI_CD4_Memory_Primary_8pool	Blood			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
BI_CD4_Naive_Primary_7pool	Blood			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
BI_CD4p_CD225int_CD127p_Tmem	Blood			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
BI_CD4p_CD25-_CD45RAp_Naive	Blood			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
BI_CD4p_CD25-_CD45ROp_Memory	Blood			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
BI_CD4p_CD25-_Il17p_PMAstim_Th17	Blood			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
BI_CD8_Memory_7pool	Blood			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
BI_CD8_Naive_7pool	Blood			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
BI_CD8_Naive_8pool	Blood			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CD19_Primary	Blood			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
CD3	Blood			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CD34_adult	Blood			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
CD56	Blood			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
CD8_primiary	Blood			                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
BI_CD34_Primary_RO01480	Blood	HSC		                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
BI_CD34_Primary_RO01549	Blood	HSC		                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
DND41	Blood cancer		Cancer	T cell leukemia #1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
